fixture_id,side,team_id,team_name,team_assists,team_blocks,team_blocksReceived,team_efficiency,team_foulsTotal,team_freeThrowsAttempted,team_freeThrowsMade,team_freeThrowsPercentage,team_minutes,team_plusMinus,team_points,team_pointsThreeAttempted,team_pointsThreeMade,team_pointsThreePercentage,team_pointsTwoAttempted,team_pointsTwoMade,team_pointsTwoPercentage,team_rebounds,team_reboundsDefensive,team_reboundsOffensive,team_steals,team_turnovers
2ef355cc-6715-11f0-a3d6-3deba12f98c8,away,25bcb29d-55bc-11f0-8037-fb553c4eab1b,Lyon-Villeurbanne,16.0,1.0,0.0,,26.0,33.0,25.0,75.76,PT200M,,90.0,26.0,9.0,34.62,30.0,19.0,63.33,32.0,24.0,8.0,7.0,16.0
52deba45-6715-11f0-bfa5-9ffadebc148f,home,736b73ae-55bc-11f0-820e-2bf5ce89dac3,Monaco,28.0,3.0,2.0,,19.0,32.0,27.0,84.38,PT200M,,108.0,31.0,11.0,35.48,32.0,24.0,75.0,39.0,29.0,10.0,11.0,17.0
52deba45-6715-11f0-bfa5-9ffadebc148f,away,238ad480-55b8-11f0-ada9-1b2b39c0d600,Dijon,25.0,2.0,3.0,,27.0,7.0,5.0,71.43,PT200M,,95.0,35.0,18.0,51.43,32.0,18.0,56.25,22.0,19.0,3.0,12.0,17.0
540b0c46-6715-11f0-b612-9ffadebc148f,home,ca771ea2-55bb-11f0-a0bc-85c4b9894a07,Limoges,21.0,4.0,3.0,,16.0,17.0,14.0,82.35,PT200M,,80.0,22.0,8.0,36.36,44.0,21.0,47.73,42.0,31.0,11.0,5.0,12.0
540b0c46-6715-11f0-b612-9ffadebc148f,away,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,23.0,3.0,4.0,,21.0,20.0,14.0,70.0,PT200M,,72.0,32.0,10.0,31.25,28.0,14.0,50.0,33.0,26.0,7.0,6.0,10.0
53e30b4c-6715-11f0-9901-9ffadebc148f,home,989c44aa-55b7-11f0-990a-abf64778d398,Chalon/Saône,25.0,0.0,2.0,,19.0,22.0,14.0,63.64,PT200M,,93.0,26.0,11.0,42.31,46.0,23.0,50.0,51.0,30.0,21.0,9.0,14.0
53e30b4c-6715-11f0-9901-9ffadebc148f,away,9ebf8651-55bb-11f0-b6ad-2f4a48ae850a,Le Portel,17.0,2.0,0.0,,24.0,15.0,5.0,33.33,PT200M,,58.0,18.0,3.0,16.67,42.0,22.0,52.38,30.0,21.0,9.0,11.0,19.0
541ad882-6715-11f0-bf14-9ffadebc148f,home,736b73ae-55bc-11f0-820e-2bf5ce89dac3,Monaco,11.0,3.0,4.0,,14.0,25.0,20.0,80.0,PT132M35S,,71.0,17.0,7.0,41.18,28.0,15.0,53.57,19.0,15.0,4.0,6.0,10.0
541ad882-6715-11f0-bf14-9ffadebc148f,away,f43b1b0f-55bc-11f0-84d9-01499d2f0a07,Paris,17.0,4.0,3.0,,21.0,19.0,17.0,89.47,PT132M35S,,80.0,26.0,11.0,42.31,22.0,15.0,68.18,27.0,21.0,6.0,2.0,12.0
540b0c46-6715-11f0-b612-9ffadebc148f,home,ca771ea2-55bb-11f0-a0bc-85c4b9894a07,Limoges,21.0,4.0,3.0,,16.0,17.0,14.0,82.35,PT200M,,80.0,22.0,8.0,36.36,44.0,21.0,47.73,42.0,31.0,11.0,5.0,12.0
540b0c46-6715-11f0-b612-9ffadebc148f,away,c3b5d870-55b5-11f0-9d0f-171bcde6f181,Boulazac,23.0,3.0,4.0,,21.0,20.0,14.0,70.0,PT200M,,72.0,32.0,10.0,31.25,28.0,14.0,50.0,33.0,26.0,7.0,6.0,10.0
53e30b4c-6715-11f0-9901-9ffadebc148f,home,989c44aa-55b7-11f0-990a-abf64778d398,Chalon/Saône,25.0,0.0,2.0,,19.0,22.0,14.0,63.64,PT200M,,93.0,26.0,11.0,42.31,46.0,23.0,50.0,51.0,30.0,21.0,9.0,14.0
53e30b4c-6715-11f0-9901-9ffadebc148f,away,9ebf8651-55bb-11f0-b6ad-2f4a48ae850a,Le Portel,17.0,2.0,0.0,,24.0,15.0,5.0,33.33,PT200M,,58.0,18.0,3.0,16.67,42.0,22.0,52.38,30.0,21.0,9.0,11.0,19.0
53fac138-6715-11f0-b6e4-9ffadebc148f,home,506c2d71-55bb-11f0-bf0b-8b5d06fe51cf,Gravelines-Dunkerque,20.0,0.0,0.0,,24.0,27.0,24.0,88.89,PT225M,,80.0,30.0,8.0,26.67,36.0,16.0,44.44,41.0,32.0,9.0,6.0,11.0
53fac138-6715-11f0-b6e4-9ffadebc148f,away,e796c4fa-55bc-11f0-a2f1-8f0878f0f894,Nanterre,15.0,0.0,0.0,,25.0,27.0,22.0,81.48,PT225M,,85.0,27.0,9.0,33.33,43.0,18.0,41.86,46.0,33.0,13.0,5.0,11.0
541306ea-6715-11f0-9f51-9ffadebc148f,home,238ad480-55b8-11f0-ada9-1b2b39c0d600,Dijon,31.0,1.0,1.0,,27.0,22.0,17.0,77.27,PT200M,,101.0,27.0,10.0,37.04,45.0,27.0,60.0,39.0,24.0,15.0,7.0,12.0
541306ea-6715-11f0-9f51-9ffadebc148f,away,703aa4cc-55b7-11f0-8fb8-35ef9dc7437a,Bourg-en-Bresse,15.0,1.0,1.0,,27.0,32.0,26.0,81.25,PT200M,,83.0,24.0,9.0,37.5,35.0,15.0,42.86,37.0,23.0,14.0,7.0,17.0
53eb0130-6715-11f0-b86f-9ffadebc148f,home,689d1a0a-55bd-11f0-920c-f5c62c2828ba,Saint-Quentin,20.0,3.0,1.0,,23.0,15.0,8.0,53.33,PT200M,,85.0,25.0,5.0,20.0,51.0,31.0,60.78,45.0,28.0,17.0,4.0,14.0
53eb0130-6715-11f0-b86f-9ffadebc148f,away,7e9f3d8d-55bb-11f0-ae66-df8c8ac8c329,Le Mans,20.0,1.0,3.0,,21.0,22.0,18.0,81.82,PT200M,,88.0,32.0,14.0,43.75,34.0,14.0,41.18,35.0,26.0,9.0,6.0,12.0
